Date,Prev_Close,Open,High,Low,Close,VWAP,Volume,Turnover,Deliverable_Volume,Perc_Deliverable,Year_N
03-08-2005,1290.3,1297.5,1307.4,1283,1300.75,1297.43,909290,1.18E+14,467665,0.5143,2
04-08-2005,1300.75,1305,1319.8,1288,1295.25,1303.31,793367,1.03E+14,420189,0.5296,2
05-08-2005,1295.25,1300,1308,1277.2,1285.4,1285.48,395356,5.08E+13,170663,0.4317,2
08-08-2005,1285.4,1290,1290,1267.25,1283.05,1281.14,513670,6.58E+13,298920,0.5819,2
09-08-2005,1283.05,1275,1287,1264,1284.4,1280.09,592969,7.59E+13,289383,0.488,2
10-08-2005,1284.4,1285.65,1316.65,1285.65,1313.05,1303.55,869760,1.13E+14,401111,0.4612,2
11-08-2005,1313.05,1316.65,1329,1306.6,1312.85,1319.05,455664,6.01E+13,133857,0.2938,2
12-08-2005,1312.85,1328.4,1328.4,1275.6,1282.85,1298.35,477729,6.20E+13,140173,0.2934,2
16-08-2005,1282.85,1290,1290,1265,1269.05,1270.71,456676,5.80E+13,272640,0.597,2
17-08-2005,1269.05,1280,1302,1261.3,1299.15,1285.52,704686,9.06E+13,339116,0.4812,2
18-08-2005,1299.15,1307,1325,1305.3,1313.7,1315.75,976707,1.29E+14,520304,0.5327,2
19-08-2005,1313.7,1315,1332,1311.1,1325.35,1323.95,620784,8.22E+13,282493,0.4551,2
22-08-2005,1325.35,1325,1348.4,1245,1317.85,1331.22,561502,7.47E+13,199087,0.3546,2
23-08-2005,1317.85,1327,1330.65,1313,1316.05,1318.01,585802,7.72E+13,293533,0.5011,2
24-08-2005,1316.05,1316.05,1318,1284,1295.7,1296.95,504595,6.54E+13,197927,0.3922,2
25-08-2005,1295.7,1305,1330,1300,1323.65,1313.94,792653,1.04E+14,387144,0.4884,2
26-08-2005,1323.65,1328.45,1370,1325,1364.75,1351.46,1024833,1.39E+14,343786,0.3355,2
29-08-2005,1364.75,1370,1378,1330,1355.35,1348.87,510167,6.88E+13,139263,0.273,2
