Date,Prev_Close,Open,High,Low,Close,VWAP,Volume,Turnover,Deliverable_Volume,Perc_Deliverable
27-12-2006,1668.6,1690,1696,1641.3,1648.2,1660.09,893868,1.48E+14,171152,0.1915
28-12-2006,1648.2,1657.75,1722,1600,1694.75,1682.4,2991857,5.03E+14,242772,0.0811
29-12-2006,1694.75,1695,1733,1651,1672.55,1696.92,1352761,2.30E+14,220024,0.1626
02-01-2007,1672.55,1683.2,1716,1665,1669.35,1690.15,1185016,2.00E+14,183500,0.1549
03-01-2007,1669.35,1674,1686.05,1656.5,1664.1,1670.8,561813,9.39E+13,101642,0.1809
04-01-2007,1664.1,1673,1705,1635,1641.65,1668.54,1025123,1.71E+14,209187,0.2041
05-01-2007,1641.65,1647.5,1679,1635.3,1643.2,1657.21,644941,1.07E+14,102430,0.1588
08-01-2007,1643.2,1660,1714,1650,1677.95,1691.45,1364835,2.31E+14,214203,0.1569
09-01-2007,1677.95,1685,1694,1635,1647.85,1662.61,650197,1.08E+14,161609,0.2486
10-01-2007,1647.85,1647.1,1705,1635.9,1687.55,1679.79,1186144,1.99E+14,261280,0.2203
11-01-2007,1687.55,1701,1793.7,1674,1779.3,1743.54,2347849,4.09E+14,402788,0.1716
12-01-2007,1779.3,1797,1872,1797,1845.95,1840.89,2056987,3.79E+14,309318,0.1504
15-01-2007,1845.95,1898,1898,1850.35,1867.6,1868.29,764637,1.43E+14,126605,0.1656
16-01-2007,1867.6,1880,1886.7,1790.3,1803.65,1830.56,885076,1.62E+14,274302,0.3099
17-01-2007,1803.65,1844.4,1999,1810,1980.8,1926.85,4012626,7.73E+14,451603,0.1125
18-01-2007,1980.8,2011,2048,1851.2,1898.55,1963.23,3523518,6.92E+14,609763,0.1731
19-01-2007,1898.55,1925.1,1940,1765.3,1776.6,1804.66,3081277,5.56E+14,614712,0.1995
22-01-2007,1776.6,1788,1825,1725.1,1762.15,1774.58,2515675,4.46E+14,333044,0.1324
23-01-2007,1762.15,1762.15,1798.9,1734.95,1747.4,1765.97,1379622,2.44E+14,255137,0.1849
24-01-2007,1747.4,1890,1890,1751.25,1771.4,1772.44,695625,1.23E+14,108013,0.1553
25-01-2007,1771.4,1780,1830,1778,1793,1804.64,1271675,2.29E+14,366455,0.2882
29-01-2007,1793,1810,1810.95,1745.65,1751.95,1765.02,616651,1.09E+14,188528,0.3057
31-01-2007,1751.95,1774.65,1780,1730.7,1743.15,1752.28,575434,1.01E+14,131317,0.2282
01-02-2007,1743.15,1750,1805,1740,1793.7,1773.34,916013,1.62E+14,189280,0.2066
02-02-2007,1793.7,1805,1824,1783.5,1793.85,1805.65,677566,1.22E+14,168647,0.2489
05-02-2007,1793.85,1795,1797,1760.5,1765.85,1772.77,345626,6.13E+13,79659,0.2305
06-02-2007,1765.85,1770,1843.9,1762.2,1794.85,1808.02,1223480,2.21E+14,176793,0.1445
07-02-2007,1794.85,1808,1821.9,1778,1784.85,1797.54,523525,9.41E+13,89612,0.1712
08-02-2007,1784.85,1795,1809,1765.1,1772.8,1784.59,379467,6.77E+13,59865,0.1578
09-02-2007,1772.8,1770,1790.55,1730.1,1738.9,1758.44,401103,7.05E+13,94163,0.2348
12-02-2007,1738.9,1740,1742,1651,1659.4,1683.93,404303,6.81E+13,120239,0.2974
13-02-2007,1659.4,1659.95,1713.7,1612.3,1670.4,1680.41,574558,9.65E+13,102701,0.1787
14-02-2007,1670.4,1655,1673,1631.6,1646.1,1654.27,318984,5.28E+13,84922,0.2662
15-02-2007,1646.1,1675.75,1715,1665,1683.8,1690.32,482523,8.16E+13,183987,0.3813
19-02-2007,1683.8,1703,1744,1683,1690.3,1713.13,798187,1.37E+14,150398,0.1884
20-02-2007,1690.3,1704.75,1713,1650,1654.55,1674.65,434835,7.28E+13,162749,0.3743
21-02-2007,1654.55,1660,1679,1650,1657.9,1662.6,337149,5.61E+13,54141,0.1606
22-02-2007,1657.9,1667,1707,1630,1681.05,1661.92,630566,1.05E+14,214576,0.3403
23-02-2007,1681.05,1685,1706.8,1560,1586.95,1618.57,644482,1.04E+14,155332,0.241
26-02-2007,1586.95,1760,1760,1440,1492.15,1503.55,1313717,1.98E+14,385349,0.2933
27-02-2007,1492.15,1478.7,1548,1471,1496.95,1510.21,1053832,1.59E+14,159685,0.1515
28-02-2007,1496.95,1359,1480,1311,1435.5,1448.81,741271,1.07E+14,157568,0.2126
01-03-2007,1435.5,1355,1520,1355,1495.4,1444.09,934486,1.35E+14,140973,0.1509
02-03-2007,1495.4,1495.05,1533.7,1447.05,1463.25,1499.88,784867,1.18E+14,98473,0.1255
05-03-2007,1463.25,1447.4,1447.4,1325.1,1337.75,1379.38,857272,1.18E+14,205594,0.2398
06-03-2007,1337.75,1355.05,1420,1271,1292.55,1318.64,1540478,2.03E+14,337716,0.2192
07-03-2007,1292.55,1315,1346.4,1263,1302.95,1304.63,1011842,1.32E+14,212459,0.21
08-03-2007,1302.95,1310.7,1370.8,1285.65,1357.95,1327.83,817807,1.09E+14,137912,0.1686
09-03-2007,1357.95,1374,1384,1310,1318.4,1337.29,414273,5.54E+13,95805,0.2313
12-03-2007,1318.4,1330,1397.7,1313.25,1374.2,1364.5,840521,1.15E+14,101168,0.1204
